"","word","type"
"137","가까이하다","positive"
"138","가다듬어","positive"
"139","가다듬어 수습하는","positive"
"140","가다듬어 수습하다","positive"
"141","가다듬어 정하다","positive"
"142","가당히","positive"
"143","가뜬하게","positive"
"144","가라앉혀 바로잡다","positive"
"145","가르치며","positive"
"146","가르침","positive"
"147","가벼운 마음으로","positive"
"148","가볍게 웃다","positive"
"149","가볍고","positive"
"150","가볍고 보드랍게","positive"
"151","가분가분","positive"
"152","가분히","positive"
"153","가뿐가뿐","positive"
"154","가뿐가뿐하다","positive"
"155","가뿐가뿐히","positive"
"156","가뿐하게","positive"
"157","가뿐하다","positive"
"158","가뿐한","positive"
"159","가뿐한 느낌","positive"
"160","가뿐한 느낌이","positive"
"161","가뿐히","positive"
"162","가장 중요한","positive"
"163","가지런하게 하는","positive"
"164","가지런하게 하다","positive"
"165","가지런하다","positive"
"166","가치","positive"
"167","가치가","positive"
"168","가치있는","positive"
"169","각별나다","positive"
"170","각별하다","positive"
"171","간직하다","positive"
"172","감각적이다","positive"
"173","감당하다","positive"
"174","감동시킬","positive"
"175","감동시킬 만한","positive"
"176","감모","positive"
"177","감싸고","positive"
"178","감정이 북받쳐","positive"
"179","강렬하게","positive"
"180","강세","positive"
"181","강인하다","positive"
"182","강하게","positive"
"183","강하게 하다","positive"
"184","강하고","positive"
"185","강하다","positive"
"186","강화하다","positive"
"187","갖추다","positive"
"188","개선하고","positive"
"189","개성","positive"
"190","개성있는","positive"
"191","개성있다","positive"
"192","갠소","positive"
"193","갸륵한","positive"
"194","갸륵한 데가","positive"
"195","갸름하다","positive"
"196","거리낌 없이","positive"
"197","거짓 없다","positive"
"198","거짓없다","positive"
"199","거침없이","positive"
"200","거침이 없는","positive"
"201","걱정이 없는","positive"
"202","건강에 긍정적인","positive"
"203","건둥건둥","positive"
"204","건둥건둥하다","positive"
"205","검소하다","positive"
"206","겉면이 매끄럽고","positive"
"207","겉모양의 아름다움과","positive"
"208","격려되다","positive"
"209","격려하다","positive"
"210","격식에 맞아","positive"
"211","견고하다","positive"
"212","견디어 내다","positive"
"213","견줄 수 없을 정도로","positive"
"214","결점이 없도록","positive"
"215","겸손하게","positive"
"216","겸손하게 이르는","positive"
"217","겸손하고","positive"
"218","경건한","positive"
"219","경험이 많고","positive"
"220","고상하고","positive"
"221","고상한 남자","positive"
"222","고상한 이야기","positive"
"223","고요하게","positive"
"224","고요하게 함","positive"
"225","고요하고","positive"
"226","고요함","positive"
"227","고요해짐","positive"
"228","고쳐","positive"
"229","고쳐 세우다","positive"
"230","고쳐 지음","positive"
"231","고쳐 짓다","positive"
"232","고치다","positive"
"233","곧게","positive"
"234","곧게 되다","positive"
"235","곧고","positive"
"236","곧고 올바름","positive"
"237","곧다","positive"
"238","곧장 나아가다","positive"
"239","곳에서 평안히","positive"
"240","공덕이 있는","positive"
"241","공로에","positive"
"242","공로와","positive"
"243","공로와 업적","positive"
"244","공손하다","positive"
"245","공정한","positive"
"246","공평하다","positive"
"247","공평하여","positive"
"248","공평하여 어느","positive"
"249","공평함","positive"
"250","관계가 맺어지다","positive"
"251","관계를 맺다","positive"
"252","관광할 만한","positive"
"253","관능적이다","positive"
"254","관심을 가짐","positive"
"255","관심을 기울이다","positive"
"256","관심이 있다","positive"
"257","관심이나","positive"
"258","관심이나 흥미","positive"
"259","괜찮거나","positive"
"260","괜찮고","positive"
"261","괜찮다","positive"
"262","괴로움을 없애","positive"
"263","괴롭지 아니하여","positive"
"264","교묘하게","positive"
"265","교양","positive"
"266","교양과","positive"
"267","교양이 있다","positive"
"268","교양이 있어","positive"
"269","교육적인","positive"
"270","교통을 허락하다","positive"
"271","교통이 허락되다","positive"
"272","교화하고","positive"
"273","교훈","positive"
"274","구경하며 즐기다","positive"
"275","구구함이나 연연함이 없다","positive"
"276","구김살 없이","positive"
"277","구김살이 없다","positive"
"278","구김살이 없이","positive"
"279","구성지고","positive"
"280","구원하다","positive"
"281","구원한","positive"
"282","구원한 일","positive"
"283","구제함","positive"
"284","구차하지 않다","positive"
"285","군소리 없이","positive"
"286","굳게","positive"
"287","굳게 맹세하다","positive"
"288","굳게 믿다","positive"
"289","굳고 행실이","positive"
"290","굴복하지 않고","positive"
"291","굽히지 아니하고","positive"
"292","궐기할","positive"
"293","궐기할 것을","positive"
"294","귀염을 받는","positive"
"295","귀하게 되어","positive"
"296","귀하게 될","positive"
"297","규모가 크고","positive"
"298","그러하다","positive"
"299","그럴듯하다","positive"
"300","그럴싸하다","positive"
"301","그렇게 되리라는","positive"
"302","그렇게 인정받는","positive"
"303","그리운","positive"
"304","그리운 마음이","positive"
"305","그리움","positive"
"306","그리웁다","positive"
"307","그리워지다","positive"
"308","그리워하거나","positive"
"309","그리워하거나 좋아하는","positive"
"310","그리워하거나 좋아하다","positive"
"311","그리워하다","positive"
"312","그리워함","positive"
"313","그립다","positive"
"314","그윽하고","positive"
"315","그윽하고 평온하다","positive"
"316","극락","positive"
"317","극복하고","positive"
"318","극복하다","positive"
"319","근본에 맞는","positive"
"320","긍정","positive"
"321","긍정적","positive"
"322","기대","positive"
"323","기대가","positive"
"324","기대가 가득하다","positive"
"325","기대된다","positive"
"326","기대를 받다","positive"
"327","기대하다","positive"
"328","기름진 땅","positive"
"329","기리어","positive"
"330","기막히다","positive"
"331","기모띠","positive"
"332","기반이 튼튼하게","positive"
"333","기반이 튼튼하다","positive"
"334","기부하다","positive"
"335","기예에 통달하여","positive"
"336","기풍","positive"
"337","긴장을 해소하려","positive"
"338","길미","positive"
"339","길을 찾아내다","positive"
"340","깊고 중대한","positive"
"341","깊은 이치나","positive"
"342","깊이 있고","positive"
"343","까다롭지 아니하다","positive"
"344","깜찍하게","positive"
"345","깜찍하게 까딱거리는","positive"
"346","깜찍하게 생긴","positive"
"347","깜찍하고","positive"
"348","깜찍하고 트인","positive"
"349","깜찍하다","positive"
"350","깜찍하면서도","positive"
"351","깨끗이","positive"
"352","깨끗이 하다","positive"
"353","깨끗이 함","positive"
"354","깨끗하게","positive"
"355","깨끗하게 다듬고","positive"
"356","깨끗하게 하다","positive"
"357","깨끗하고 깔끔한","positive"
"358","깨끗하고 순진하게","positive"
"359","깨끗한 사람","positive"
"360","깨닫거나","positive"
"361","깨닫게","positive"
"362","깨닫게 하거나","positive"
"363","깨닫고자","positive"
"364","깨닫는","positive"
"365","깨닫는 경지에","positive"
"366","깨닫다","positive"
"367","깨달아","positive"
"368","깨달아 알게","positive"
"369","깨달아 알다","positive"
"370","깨달아 얻음","positive"
"371","깨달은 상태","positive"
"372","깨달음","positive"
"373","깨달음을","positive"
"374","깨달음을 얻고","positive"
"375","깨달음의","positive"
"376","깨달음의 지혜이다","positive"
"377","깨알같다","positive"
"378","깨우쳐","positive"
"379","깨우쳐 주고","positive"
"380","꼭 맞다","positive"
"381","꼭 알맞다","positive"
"382","꼼꼼하게","positive"
"383","꼼꼼하게 자세히","positive"
"384","꼼꼼하고","positive"
"385","꼼꼼하다","positive"
"386","꼿꼿하며","positive"
"387","꾸민","positive"
"388","꾸밈을 화려하게","positive"
"389","꾸밈이 없음","positive"
"390","꾸밈이 없이","positive"
"391","꾸준하게","positive"
"392","꾸준하게 일하거나","positive"
"393","꾸준하게 행동하다","positive"
"394","꿀잼","positive"
"395","꿋꿋하다","positive"
"396","꿋꿋한","positive"
"397","꿋꿋한 모양","positive"
"398","끈기","positive"
"399","끌다","positive"
"400","끌리도록","positive"
"401","끝까지 변함없이","positive"
"402","ㄳ","positive"
"403","나긋나긋이","positive"
"404","나쁘지 않고","positive"
"405","나서는 힘","positive"
"406","나아가게","positive"
"407","나아가게 하다","positive"
"408","나아지게","positive"
"409","난리나다","positive"
"410","날뛰다","positive"
"411","날뜀","positive"
"412","날씬하다","positive"
"413","날씬한","positive"
"414","남달리","positive"
"415","남보다 높은","positive"
"416","남보다 앞서서","positive"
"417","남을 대접하는","positive"
"418","남을 도와주다","positive"
"419","남을 웃기는","positive"
"420","남을 웃기려고","positive"
"421","남을 이해하고","positive"
"422","낫게 하다","positive"
"423","낫다","positive"
"424","낭만","positive"
"425","낭만적인","positive"
"426","내색 없이","positive"
"427","내용으로 익살스럽게","positive"
"428","너그러운 데가","positive"
"429","넉넉하거나 많다","positive"
"430","넉넉하게","positive"
"431","넉넉하고","positive"
"432","넉넉하고 많은","positive"
"433","넉넉하고 많음","positive"
"434","넉넉하고 윤택하게","positive"
"435","넉넉하고 푸지다","positive"
"436","넉넉하다","positive"
"437","넉넉하여","positive"
"438","넉넉한","positive"
"439","넉살 좋게","positive"
"440","넋을 잃다","positive"
"441","넌덕스러운","positive"
"442","넌덕스러운 말로","positive"
"443","널리 알려지다","positive"
"444","널리 알려진","positive"
"445","널리 전하여","positive"
"446","넘기기 좋게","positive"
"447","넘사","positive"
"448","넘사벽","positive"
"449","노는 짓을","positive"
"450","노력이나","positive"
"451","노력하는","positive"
"452","노력하다","positive"
"453","노련하고","positive"
"454","논리적","positive"
"455","놀다","positive"
"456","놀랍다","positive"
"457","높거나","positive"
"458","높거나 가치가","positive"
"459","높고","positive"
"460","높다","positive"
"461","높여 부르는","positive"
"462","높여 이르는","positive"
"463","높은","positive"
"464","높은 경지로","positive"
"465","높은 경지에","positive"
"466","높은 등급으로","positive"
"467","높이 받들다","positive"
"468","높이 받듦","positive"
"469","높이다","positive"
"470","누그러지거나 부드러운","positive"
"471","누그러지거나 부드럽다","positive"
"472","누그럽거나 부드러운","positive"
"473","누그럽거나 부드럽다","positive"
"474","누리게 하다","positive"
"475","눈매가 또렷하다","positive"
"476","눈매가 뚜렷하다","positive"
"477","눈빛이 반짝이다","positive"
"478","눈앞에 생생하게","positive"
"479","눈에 뛸","positive"
"480","눈이 부시어","positive"
"481","눈치가 빠르거나","positive"
"482","뉘우치고","positive"
"483","뉘우치고 고침","positive"
"484","뉘우치고 바로잡아","positive"
"485","느낌이 깨끗하고","positive"
"486","느낌이 부드럽게","positive"
"487","느낌이 시원하고","positive"
"488","늘씬한","positive"
"489","늘씬한 모양","positive"
"490","능글능글한","positive"
"491","능글능글한 모양","positive"
"492","능글맞게 하다","positive"
"493","능력","positive"
"494","능력을 믿고","positive"
"495","다독거리다","positive"
"496","다독다독","positive"
"497","다독다독하다","positive"
"498","다루기에 손쉽게","positive"
"499","다시 살아나거나","positive"
"500","다시 성해지다","positive"
"501","다시 친숙해지다","positive"
"502","다시 평안하다","positive"
"503","다양하다","positive"
"504","다채롭다","positive"
"505","다하여 싸우다","positive"
"506","다행스럽다","positive"
"507","단단하게","positive"
"508","단단하고","positive"
"509","단단하고 굳세거나","positive"
"510","단단하고 굳세다","positive"
"511","단단히 가다듬다","positive"
"512","단련되고","positive"
"513","단련되고 굳세어지다","positive"
"514","단련되다","positive"
"515","달거나","positive"
"516","달거나 달콤하다","positive"
"517","달달하다","positive"
"518","달뜬","positive"
"519","달뜬 느낌","positive"
"520","달뜬 상태이다","positive"
"521","달뜸","positive"
"522","달래는 모양","positive"
"523","달래다","positive"
"524","달래어 편하게","positive"
"525","달성감","positive"
"526","달성하다","positive"
"527","달성한","positive"
"528","달콤하고","positive"
"529","달콤하고 정다운","positive"
"530","달콤하다","positive"
"531","달콤한","positive"
"532","달콤한 느낌","positive"
"533","달콤한 말","positive"
"534","담력과 지혜를","positive"
"535","당당하게","positive"
"536","당당하게 말하다","positive"
"537","당당하고","positive"
"538","당당하고 떳떳하게","positive"
"539","당당하다","positive"
"540","대가","positive"
"541","대가 없이 내놓다","positive"
"542","대견하고","positive"
"543","대담하고","positive"
"544","대담하고 시원스럽게","positive"
"545","대상","positive"
"546","대상을 아끼고","positive"
"547","대상이 시원스럽도록","positive"
"548","대열을 깨끗이","positive"
"549","대접","positive"
"550","대접하기","positive"
"551","대접하는","positive"
"552","대접하는 일","positive"
"553","대접함","positive"
"554","대할 만하게","positive"
"555","대할 만하다","positive"
"556","더 높거나","positive"
"557","더 높은","positive"
"558","더러움을 씻고","positive"
"559","더없이","positive"
"560","더욱 든든하고","positive"
"561","더하다","positive"
"562","더할 나위 없이","positive"
"563","더할 바 없이","positive"
"564","더할 수 없이","positive"
"565","덕망을 갖춘","positive"
"566","도덕적 기준에","positive"
"567","도리","positive"
"568","도리를 깨닫는","positive"
"569","도와서 이루어지도록","positive"
"570","도와주다","positive"
"571","도움","positive"
"572","도움을 얻다","positive"
"573","독보적","positive"
"574","독특하다","positive"
"575","돈이 많음","positive"
"576","돋는다","positive"
"577","돋보이다","positive"
"578","돋우다","positive"
"579","동기 부여하다","positive"
"580","동기를 부여하다","positive"
"581","동기부여하다","positive"
"582","동의?어보감","positive"
"583","되찾는","positive"
"584","되찾는 일","positive"
"585","두근거리다","positive"
"586","두드러지다","positive"
"587","두드러진 보람","positive"
"588","두려워하지 아니하다","positive"
"589","두려워하지 아니함","positive"
"590","두텁다","positive"
"591","드높은","positive"
"592","드높은 모양","positive"
"593","들뜬","positive"
"594","들뜬 상태에","positive"
"595","들먹이며 우쭐하다","positive"
"596","들먹이며 우쭐해하다","positive"
"597","듯이 날뛰다","positive"
"598","듯이 날뜀","positive"
"599","따름","positive"
"600","따위가 왕성하다","positive"
"601","딸바보","positive"
"602","때를 없애다","positive"
"603","때를 없앰","positive"
"604","떳떳하게","positive"
"605","또는 순수하게","positive"
"606","또렷또렷","positive"
"607","또렷또렷하다","positive"
"608","또렷또렷한","positive"
"609","또렷이","positive"
"610","또렷하게 하다","positive"
"611","또렷하다","positive"
"612","또렷한","positive"
"613","또렷한 상태로","positive"
"614","또박또박하게","positive"
"615","또박또박하게 하는","positive"
"616","또박또박하게 하다","positive"
"617","뚜렷하게","positive"
"618","뚜렷하고","positive"
"619","뚜렷하고 크다","positive"
"620","뚜렷하다","positive"
"621","뚜렷하여","positive"
"622","뚫고 지나가다","positive"
"623","뚫어트리다","positive"
"624","뛰어넘다","positive"
"625","뜨뜻하고","positive"
"626","뜻이 있거나","positive"
"627","뜻한 바를 굽히지 않고 밀고 나아가는 힘이 있다","positive"
"628","로맨티시즘","positive"
"629","리즈시절","positive"
"630","마땅하고 좋게","positive"
"631","마음속에 간직하다","positive"
"632","마음씨가 곱고","positive"
"633","마음씨가 맑고","positive"
"634","마음에 간직하다","positive"
"635","마음을 가라앉히고","positive"
"636","마음을 깨끗이","positive"
"637","마음을 받아들이다","positive"
"638","마음을 베풀거나","positive"
"639","마음을 써서","positive"
"640","마음을 털어놓고","positive"
"641","마음을 홀리는","positive"
"642","마음이 간절하다","positive"
"643","마음이 생기다","positive"
"644","마음이 신령하다","positive"
"645","마음이 신령하여","positive"
"646","마음이 움직이다","positive"
"647","마음이 움직임","positive"
"648","마음이 진정되어","positive"
"649","마음이 풀리어","positive"
"650","마음이 흡족하여","positive"
"651","마초맨","positive"
"652","많음","positive"
"653","많이 잡다","positive"
"654","많이 잡혔음을","positive"
"655","많이 잡히는","positive"
"656","말똥말똥","positive"
"657","말똥말똥 쳐다보다","positive"
"658","말할 수 없을 만큼","positive"
"659","맛깔나다","positive"
"660","맛이 달거나","positive"
"661","맛있는 음식","positive"
"662","망상과 잡념을 없애고","positive"
"663","맞고 순순히","positive"
"664","맞추어","positive"
"665","맞추어 나가다","positive"
"666","매끄러운","positive"
"667","매끄러운 모양","positive"
"668","매끄러워서","positive"
"669","매끄럽고","positive"
"670","매끄럽다","positive"
"671","매끈둥대다","positive"
"672","매끈하게","positive"
"673","매력에","positive"
"674","매력적인","positive"
"675","매료되어","positive"
"676","매료되어 취하다","positive"
"677","매우 고분고분하고","positive"
"678","매우 그럴싸하다","positive"
"679","매우 능글능글한","positive"
"680","매우 뜨뜻하고","positive"
"681","매우 매끄럽다","positive"
"682","매우 매끈하게","positive"
"683","매우 미끄러운","positive"
"684","매우 미끄럽다","positive"
"685","매우 뽀얀","positive"
"686","매우 생기가","positive"
"687","매우 앙큼하다","positive"
"688","매우 훌륭한","positive"
"689","맹세하다","positive"
"690","먹음새가 좋아서","positive"
"691","멀쑥하게","positive"
"692","멀쑥하다","positive"
"693","멀쑥한","positive"
"694","멀쑥한 모양","positive"
"695","멀쩡하다","positive"
"696","멋들어지게 부드럽고","positive"
"697","멋진","positive"
"698","명복을 빌고","positive"
"699","명복을 빌다","positive"
"700","명예롭다","positive"
"701","명쾌한","positive"
"702","명쾌함","positive"
"703","모순을 초월한","positive"
"704","모양이 꼼꼼하고","positive"
"705","모자람이 없을","positive"
"706","모자람이 없이","positive"
"707","몸가짐이 의젓하고","positive"
"708","몸보신하다","positive"
"709","몸을 깜찍하게","positive"
"710","몸을 단련하거나","positive"
"711","몸을 보하는","positive"
"712","몸을 조리함","positive"
"713","몸짱","positive"
"714","몹시 끌리도록","positive"
"715","무게 있게","positive"
"716","무게가 있게","positive"
"717","무게가 있는","positive"
"718","무게가 있다","positive"
"719","무궁무진하다","positive"
"720","무량한 마음을","positive"
"721","무료로","positive"
"722","무르고 부드러운","positive"
"723","무르고 부드럽다","positive"
"724","무사히","positive"
"725","무엇을 바라거나","positive"
"726","무엇을 융통하거나","positive"
"727","무용적 조화와","positive"
"728","무편무당하다","positive"
"729","무해한","positive"
"730","문체가 화려하게","positive"
"731","물이 맑고","positive"
"732","물이 오르다","positive"
"733","물정에 밝은","positive"
"734","뭇사람을 구제함","positive"
"735","므흣하다","positive"
"736","미끄러운","positive"
"737","미끄러운 모양","positive"
"738","미끈하다","positive"
"739","미루지 않고","positive"
"740","미묘하여","positive"
"741","미세함","positive"
"742","미소를 보냄을","positive"
"743","믿고","positive"
"744","믿고 의지하다","positive"
"745","믿다","positive"
"746","믿을 수 없을 정도로","positive"
"747","믿음","positive"
"748","믿음을","positive"
"749","바라거나 의지하다","positive"
"750","바로잡다","positive"
"751","바로잡아 새로운","positive"
"752","바르게 고치다","positive"
"753","바르게 만들다","positive"
"754","바른 정치로","positive"
"755","반들반들","positive"
"756","반들반들 윤기가","positive"
"757","반들반들하다","positive"
"758","반듯하게","positive"
"759","반듯하고","positive"
"760","반성하고","positive"
"761","반하다","positive"
"762","반해버리다","positive"
"763","반했다","positive"
"764","받다","positive"
"765","발달된","positive"
"766","발달된 문명","positive"
"767","발달하게 되다","positive"
"768","발달하게 하다","positive"
"769","발라서","positive"
"770","발라서 흐뭇하다","positive"
"771","발전","positive"
"772","발전되도록","positive"
"773","발전시키는","positive"
"774","발전시키는 일","positive"
"775","발전이나","positive"
"776","발전하게 하다","positive"
"777","발전하는","positive"
"778","발전하다","positive"
"779","밝게 빛나거나","positive"
"780","밝고 선명한","positive"
"781","배우다","positive"
"782","배워지고 닦이다","positive"
"783","버프","positive"
"784","번듯이","positive"
"785","번듯하게","positive"
"786","번듯하고","positive"
"787","번듯하고 의젓한","positive"
"788","번하다","positive"
"789","벗","positive"
"790","벗어남이 없이","positive"
"791","베푸는","positive"
"792","베풀거나","positive"
"793","베풀다","positive"
"794","베풀어","positive"
"795","베풀어 주는","positive"
"796","베풀어 주다","positive"
"797","베풀어 줌","positive"
"798","베풀어서","positive"
"799","베풀어져","positive"
"800","베풀어져 주어지다","positive"
"801","베풀어지다","positive"
"802","변함없이","positive"
"803","병을 치료하다","positive"
"804","보고 싶어","positive"
"805","보고 싶어 하다","positive"
"806","보기도 괜찮고","positive"
"807","보기에 신묘하게","positive"
"808","보기에 어질고","positive"
"809","보답이","positive"
"810","보답하는","positive"
"811","보드라운","positive"
"812","보드라운 느낌이","positive"
"813","보드라운 모양","positive"
"814","보드랍게","positive"
"815","보드랍게 살그머니","positive"
"816","보드랍게 웃는","positive"
"817","보드랍고","positive"
"818","보드랍고 만만하다","positive"
"819","보드랍고 무르다","positive"
"820","보드랍고 무른","positive"
"821","보드랍고 순하게","positive"
"822","보드랍고 순한","positive"
"823","보드랍고 야들야들한","positive"
"824","보드랍고 연하게","positive"
"825","보드랍고 연하다","positive"
"826","보드랍고 연한","positive"
"827","보드랍고 탄력","positive"
"828","보드랍고 하늘하늘하다","positive"
"829","보드랍다","positive"
"830","보란 듯이","positive"
"831","보람","positive"
"832","보람이나","positive"
"833","보람이나 소득이","positive"
"834","보배","positive"
"835","보살의 지혜","positive"
"836","보살피거나","positive"
"837","보살피거나 수고하는","positive"
"838","보살피거나 위하는","positive"
"839","보살피다","positive"
"840","보송보송","positive"
"841","보송보송하다","positive"
"842","보충하다","positive"
"843","보탬이","positive"
"844","보탬이 되는","positive"
"845","보통 이상의","positive"
"846","보통 이상의 수준이어서","positive"
"847","보통 이상이다","positive"
"848","보호하여","positive"
"849","복리를","positive"
"850","복리를 가져오는","positive"
"851","본받을 만한","positive"
"852","볼매","positive"
"853","봄날의","positive"
"854","봄날의 경치에","positive"
"855","봄의 경치","positive"
"856","봄철의 빛","positive"
"857","부드러우며","positive"
"858","부드러우면서","positive"
"859","부드러우면서 아삭하다","positive"
"860","부드러운","positive"
"861","부드러운 느낌이","positive"
"862","부드러운 마음과","positive"
"863","부드러운 맛","positive"
"864","부드러운 모양","positive"
"865","부드러운 태도에서","positive"
"866","부드러워지게","positive"
"867","부드러워지게 하다","positive"
"868","부드럽게","positive"
"869","부드럽게 녹여","positive"
"870","부드럽게 퍼지다","positive"
"871","부드럽게 흔들리는","positive"
"872","부드럽고","positive"
"873","부드럽고 매끄러워서","positive"
"874","부드럽고 반드럽게","positive"
"875","부드럽고 반드럽다","positive"
"876","부드럽고 번드럽게","positive"
"877","부드럽고 번드럽다","positive"
"878","부드럽고 서정적인","positive"
"879","부드럽고 순하게","positive"
"880","부드럽고 순하다","positive"
"881","부드럽고 순한","positive"
"882","부드럽고 아삭아삭한","positive"
"883","부드럽고 연하게","positive"
"884","부드럽다","positive"
"885","부러운","positive"
"886","부러워함","positive"
"887","부자","positive"
"888","부족함이 없다","positive"
"889","부처의 지혜","positive"
"890","부처의 지혜가","positive"
"891","북받쳐 일어나다","positive"
"892","분명하게","positive"
"893","분명하게 짓다","positive"
"894","분명하고","positive"
"895","분명하고 또렷이","positive"
"896","분명하다","positive"
"897","분명한","positive"
"898","분명한 답을","positive"
"899","분명한 모양","positive"
"900","분발하도록 격려하다","positive"
"901","분위기가 점잖고","positive"
"902","분위기가 점잖고 엄숙하게","positive"
"903","분위기가 좋은","positive"
"904","분풀이하다","positive"
"905","분하고 원통한 마음을 풀어 버리다","positive"
"906","불만이 없어","positive"
"907","불편부당","positive"
"908","불편부당하다","positive"
"909","붙임성","positive"
"910","붙임성 있게","positive"
"911","비장의","positive"
"912","비장의 수","positive"
"913","비중이 있다","positive"
"914","빈틈없고","positive"
"915","빈틈없고 야무지다","positive"
"916","빙긋거리다","positive"
"917","빙긋대다","positive"
"918","빛","positive"
"919","빛나고","positive"
"920","빛나고 환하게","positive"
"921","빛나며","positive"
"922","빠르다","positive"
"923","뻑뻑하지 아니하게","positive"
"924","뽀록","positive"
"925","뽀얀","positive"
"926","뽀얀 모양","positive"
"927","뽐내는","positive"
"928","뽐내는 모양","positive"
"929","뽐내다","positive"
"930","뽐낼","positive"
"931","뽐낼 만한","positive"
"932","ㅅㅅ","positive"
"933","사건에 적극적으로","positive"
"934","사고가 없다","positive"
"935","사교적","positive"
"936","사교적이다","positive"
"937","사교적인","positive"
"938","사귀다","positive"
"939","사귀어","positive"
"940","사람다운","positive"
"941","사랑과","positive"
"942","사랑을","positive"
"943","사랑을 느낄","positive"
"944","사랑을 표현하는","positive"
"945","사랑이","positive"
"946","사랑하는 태도를","positive"
"947","사로잡다","positive"
"948","사리를 밝혀","positive"
"949","사리에 밝고","positive"
"950","사물에 밝은","positive"
"951","사뿐사뿐하다","positive"
"952","사뿐하다","positive"
"953","사사로움이 없다","positive"
"954","사사로움이 없음","positive"
"955","사심없는","positive"
"956","사회의 발전이나","positive"
"957","산 교훈","positive"
"958","산뜻하거나 뜨거우면서","positive"
"959","산뜻한","positive"
"960","살그머니","positive"
"961","살그머니 웃는","positive"
"962","살그머니 웃다","positive"
"963","살려 주다","positive"
"964","살빛이 희고","positive"
"965","살아나거나","positive"
"966","살아나거나 생겨나다","positive"
"967","상긋","positive"
"968","상긋거리다","positive"
"969","상긋방긋하다","positive"
"970","상긋상긋","positive"
"971","상긋하다","positive"
"972","상당하다고","positive"
"973","상당한","positive"
"974","상당한 수준이나","positive"
